Time (s),Actual Speed (km/h),Target Speed (km/h)
3.27,0.00,0.00
3.32,0.00,0.00
3.38,0.00,0.00
3.43,0.00,0.00
3.47,0.00,0.00
3.52,0.00,0.00
3.58,0.00,0.00
3.63,0.00,0.00
3.68,0.00,0.00
3.73,0.00,0.00
3.77,0.00,0.00
3.83,0.00,0.00
3.87,0.00,0.00
3.93,0.00,0.00
3.98,0.00,0.00
4.02,0.00,0.00
4.07,0.00,0.00
4.12,0.00,0.00
4.18,0.00,0.00
4.22,0.00,0.00
4.27,0.00,0.00
4.33,0.00,0.00
4.38,0.00,0.00
4.42,0.00,0.00
4.48,0.00,0.00
4.52,0.00,0.00
4.58,0.00,0.00
4.62,0.00,0.00
4.68,0.00,0.00
4.72,0.00,0.00
4.77,0.00,0.00
4.83,0.00,0.00
4.88,0.00,0.00
4.93,0.00,0.00
4.97,0.00,0.00
5.02,0.00,0.00
5.08,0.00,0.00
5.12,0.00,0.00
5.17,0.00,0.00
5.23,0.00,0.00
5.27,0.00,0.00
5.32,0.00,0.00
5.37,0.00,0.00
5.43,0.00,0.00
5.47,0.00,0.00
5.52,0.00,0.00
5.57,0.00,0.00
5.63,0.00,0.00
5.67,0.00,0.00
5.73,0.00,0.00
5.77,0.00,0.00
5.83,0.00,0.00
5.87,0.00,0.00
5.92,0.00,0.00
5.98,0.00,0.00
6.02,0.00,0.00
6.07,0.00,0.00
6.13,0.00,0.00
6.17,0.00,0.00
6.23,0.00,0.00
6.27,0.00,0.00
6.32,0.00,0.00
6.38,0.00,0.00
6.42,0.00,0.00
6.47,0.00,0.00
6.52,0.00,0.00
6.57,0.00,0.00
6.62,0.00,0.00
6.68,0.00,0.00
6.73,0.00,0.00
6.78,0.00,0.00
6.82,0.00,0.00
6.88,0.00,0.00
6.93,0.00,0.00
6.98,0.00,0.00
7.02,0.00,0.00
7.07,0.00,0.00
7.12,0.00,0.00
7.17,0.00,0.00
7.22,0.00,0.00
7.28,0.00,0.00
7.32,0.00,0.00
7.38,0.00,0.00
7.43,0.00,0.00
7.47,0.00,0.00
7.52,0.00,0.00
7.57,0.00,0.00
7.62,0.00,0.00
7.67,0.00,0.00
7.72,0.00,0.00
7.78,0.00,0.00
7.83,0.00,0.00
7.87,0.00,0.00
7.92,0.00,0.00
7.97,0.00,0.00
8.02,0.00,0.00
8.08,0.00,0.00
8.12,0.00,0.00
8.18,0.00,0.00
8.22,0.00,0.00
8.27,0.00,0.00
8.33,0.00,0.00
8.38,0.00,0.00
8.43,0.00,0.00
8.47,0.00,0.00
8.53,0.00,0.00
8.57,0.00,0.00
8.63,0.00,0.00
8.67,0.00,0.00
8.73,0.00,0.00
8.77,0.00,0.00
8.82,0.00,0.00
8.87,0.00,0.00
8.92,0.00,0.00
8.98,0.00,0.00
9.02,0.00,0.00
9.07,0.00,0.00
9.12,0.00,0.00
9.18,0.00,0.00
9.22,0.00,0.00
9.27,0.00,0.00
9.32,0.00,0.00
9.37,0.00,0.00
9.43,0.00,0.00
9.47,0.00,0.00
9.52,0.00,0.00
9.57,0.00,0.00
9.62,0.00,0.00
9.68,0.00,0.00
9.72,0.00,0.00
9.78,0.00,0.00
9.82,0.00,0.00
9.87,0.00,0.00
9.92,0.00,0.00
9.98,0.00,0.00
10.02,0.00,60.00
10.07,0.90,60.00
10.13,1.79,60.00
10.17,2.68,60.00
10.23,3.56,60.00
10.28,4.43,60.00
10.32,5.30,60.00
10.38,6.16,60.00
10.42,7.01,60.00
10.48,7.86,60.00
10.52,8.70,60.00
10.58,9.54,60.00
10.62,10.37,60.00
10.67,11.19,60.00
10.73,12.00,60.00
10.78,12.81,60.00
10.83,13.62,60.00
10.87,14.42,60.00
10.92,15.21,60.00
10.98,15.99,60.00
11.03,16.77,60.00
11.08,17.55,60.00
11.12,18.32,60.00
11.17,19.08,60.00
11.22,19.84,60.00
11.27,20.59,60.00
11.32,21.33,60.00
11.37,22.07,60.00
11.43,22.81,60.00
11.47,23.54,60.00
11.52,24.26,60.00
11.58,24.98,60.00
11.62,25.69,60.00
11.67,26.40,60.00
11.72,27.10,60.00
11.78,27.80,60.00
11.82,28.49,60.00
11.87,29.17,60.00
11.92,29.86,60.00
11.97,30.53,60.00
12.02,31.20,60.00
12.07,31.87,60.00
12.13,32.53,60.00
12.17,33.19,60.00
12.23,33.84,60.00
12.28,34.48,60.00
12.33,35.12,60.00
12.37,35.76,60.00
12.42,36.39,60.00
12.48,37.02,60.00
12.52,37.64,60.00
12.57,38.26,60.00
12.62,38.87,60.00
12.67,39.48,60.00
12.72,40.08,60.00
12.77,40.68,60.00
12.83,41.28,60.00
12.87,41.87,60.00
12.92,42.46,60.00
12.97,43.04,60.00
13.02,43.61,60.00
13.08,44.19,60.00
13.12,44.76,60.00
13.17,45.32,60.00
13.22,45.88,60.00
13.27,46.44,60.00
13.33,46.99,60.00
13.37,47.54,60.00
13.43,48.08,60.00
13.47,48.62,60.00
13.52,49.15,60.00
13.58,49.69,60.00
13.62,50.21,60.00
13.67,50.74,60.00
13.72,51.26,60.00
13.77,51.77,60.00
13.83,52.28,60.00
13.87,52.79,60.00
13.93,53.29,60.00
13.97,53.79,60.00
14.02,54.29,60.00
14.07,54.78,60.00
14.13,55.27,60.00
14.17,55.76,60.00
14.23,56.24,60.00
14.27,56.72,60.00
14.32,56.89,60.00
14.38,57.36,60.00
14.42,57.35,60.00
14.47,57.82,60.00
14.52,57.54,60.00
14.57,58.01,60.00
14.63,57.69,60.00
14.68,58.16,60.00
14.72,57.75,60.00
14.77,58.21,60.00
14.83,57.81,60.00
14.88,58.28,60.00
14.93,57.81,60.00
14.98,58.28,60.00
15.02,57.81,60.00
15.08,58.28,60.00
15.12,57.89,60.00
15.17,58.35,60.00
15.23,57.82,60.00
15.27,58.28,60.00
15.33,57.81,60.00
15.38,58.27,60.00
15.43,57.83,60.00
15.48,58.29,60.00
15.52,57.85,60.00
15.57,58.31,60.00
15.62,57.86,60.00
15.68,58.32,60.00
15.72,57.92,60.00
15.78,58.38,60.00
15.82,57.97,60.00
15.88,58.43,60.00
15.92,58.00,60.00
15.97,58.46,60.00
16.02,57.94,60.00
16.07,58.41,60.00
16.12,57.90,60.00
16.17,58.36,60.00
16.23,57.84,60.00
16.28,58.30,60.00
16.32,57.90,60.00
16.38,58.37,60.00
16.43,57.96,60.00
16.48,58.42,60.00
16.52,57.95,60.00
16.58,58.42,60.00
16.62,58.01,60.00
16.67,58.48,60.00
16.73,58.01,60.00
16.77,58.47,60.00
16.83,57.92,60.00
16.87,58.38,60.00
16.93,57.87,60.00
16.98,58.33,60.00
17.03,57.93,60.00
17.07,58.39,60.00
17.12,57.94,60.00
17.18,58.41,60.00
17.23,58.04,60.00
17.27,58.50,60.00
17.33,57.99,60.00
17.38,58.46,60.00
17.43,57.98,60.00
17.47,58.45,60.00
17.52,57.96,60.00
17.57,58.42,60.00
17.63,57.95,60.00
17.68,58.42,60.00
17.72,57.99,60.00
17.78,58.46,60.00
17.83,58.05,60.00
17.88,58.51,60.00
17.93,58.05,60.00
17.98,58.52,60.00
18.03,58.03,60.00
18.07,58.50,60.00
18.12,58.01,60.00
18.17,58.48,60.00
18.23,58.02,60.00
18.28,58.49,60.00
18.33,58.06,60.00
18.38,58.52,60.00
18.42,58.09,60.00
18.48,58.55,60.00
18.53,58.16,60.00
18.58,58.63,60.00
18.62,58.12,60.00
18.68,58.59,60.00
18.72,58.17,60.00
18.78,58.64,60.00
18.82,58.19,60.00
18.88,58.66,60.00
18.92,58.24,60.00
18.98,58.70,60.00
19.02,58.26,60.00
19.08,58.72,60.00
19.12,58.27,60.00
19.17,58.73,60.00
19.23,58.25,60.00
19.27,58.72,60.00
19.33,58.18,60.00
19.38,58.64,60.00
19.43,58.17,60.00
19.48,58.63,60.00
19.53,58.17,60.00
19.58,58.64,60.00
19.63,58.17,60.00
19.68,58.64,60.00
19.72,58.18,60.00
19.78,58.65,60.00
19.83,58.26,60.00
19.88,58.72,60.00
19.93,58.23,60.00
19.98,58.70,60.00
20.02,58.22,60.00
20.08,58.68,60.00
20.12,58.27,60.00
20.17,58.74,60.00
20.22,58.21,60.00
20.28,58.68,60.00
20.33,58.27,60.00
20.38,58.74,60.00
20.43,58.26,60.00
20.47,58.73,60.00
20.53,58.22,60.00
20.58,58.68,60.00
20.63,58.23,60.00
20.67,58.69,60.00
20.73,58.15,60.00
20.78,58.62,60.00
20.82,58.21,60.00
20.88,58.68,60.00
20.92,58.27,60.00
20.98,58.73,60.00
21.02,58.31,60.00
21.08,58.78,60.00
21.12,58.33,60.00
21.17,58.79,60.00
21.22,58.31,60.00
21.28,58.77,60.00
21.32,58.34,60.00
21.37,58.80,60.00
21.42,58.27,60.00
21.48,58.74,60.00
21.52,58.30,60.00
21.57,58.77,60.00
